iter	RMSE
0	38.85774257
1	38.85586376
2	38.8543375
3	38.85285857
4	38.85145822
5	38.85031549
6	38.84910063
7	38.84826802
8	38.84724547
9	38.8463724
10	38.84543306
11	38.84465984
12	38.84389368
13	38.84324262
14	38.84255955
15	38.84188359
16	38.84135609
17	38.84079876
18	38.84032823
19	38.83960112
20	38.83915097
21	38.83869898
22	38.83801976
23	38.8376253
24	38.83726707
25	38.83691284
26	38.83655588
27	38.83620404
28	38.83579705
29	38.83525937
30	38.83493233
31	38.83466643
32	38.83446761
33	38.83419802
34	38.83386972
35	38.8335307
36	38.83326415
37	38.83283398
38	38.83237907
39	38.83215277
40	38.83185647
41	38.83163219
42	38.83124734
43	38.83103372
44	38.83081447
45	38.83060093
46	38.83038969
47	38.83016546
48	38.82993471
49	38.82971098
50	38.82951889
51	38.82931749
52	38.82896683
53	38.82885253
54	38.82871712
55	38.82849632
56	38.82819503
57	38.82804642
58	38.82783764
59	38.8276611
60	38.82742246
61	38.82727744
62	38.82707606
63	38.82690846
64	38.82669339
65	38.82651093
66	38.82633202
67	38.82624336
68	38.82604485
69	38.8258894
70	38.82573173
71	38.82559328
72	38.82545715
73	38.82530729
74	38.82517165
75	38.82493049
76	38.82477062
77	38.82456238
78	38.8244312
79	38.82423367
80	38.82408685
81	38.82394118
82	38.82375543
83	38.82357475
84	38.82338443
85	38.82311887
86	38.82300858
87	38.82290218
88	38.82270702
89	38.82247433
90	38.82233086
91	38.82220681
92	38.82206816
93	38.82191548
94	38.82177524
95	38.82159761
96	38.82147129
97	38.82135125
98	38.82123265
99	38.82104924
100	38.8209325
101	38.82081632
102	38.82070095
103	38.82059472
104	38.82045813
105	38.82027909
106	38.82017067
107	38.81998861
108	38.81989203
109	38.81980387
110	38.81964971
111	38.81945352
112	38.81935003
113	38.8192593
114	38.81915498
115	38.81898837
116	38.8188884
117	38.81877697
118	38.8186392
119	38.8185174
120	38.81838016
121	38.81814671
122	38.81803619
123	38.81788046
124	38.81775128
125	38.81765172
126	38.81750746
127	38.81739661
128	38.81714887
129	38.81698771
130	38.81688528
131	38.81673786
132	38.81667418
133	38.81658326
134	38.8164831
135	38.81644663
136	38.81634702
137	38.81634699
138	38.81611594
139	38.81600107
140	38.81584394
141	38.81574164
142	38.81559231
143	38.81549651
144	38.81540939
145	38.81530635
146	38.8151573
147	38.81508131
148	38.81493468
149	38.81485339
150	38.81475109
151	38.81466808
152	38.81457009
153	38.81442843
154	38.81435387
155	38.8142418
156	38.81406509
157	38.8139764
158	38.81377789
159	38.81377298
160	38.81368077
161	38.81360625
162	38.81345603
163	38.81339052
164	38.81327784
165	38.81316644
166	38.81303448
167	38.81288295
168	38.81277944
169	38.81261884
170	38.81250889
171	38.8124613
172	38.81231936
173	38.81217208
174	38.81205419
175	38.8119321
176	38.8118152
177	38.81170496
178	38.81163353
179	38.81155425
180	38.8114686
181	38.81144856
182	38.81133406
183	38.81125598
184	38.81121222
185	38.81111567
186	38.81103285
187	38.81094253
188	38.81084353
189	38.81076514
190	38.81066971
191	38.81060111
192	38.8105015
193	38.81042628
194	38.8103608
195	38.8103535
196	38.81023713
197	38.8101621
198	38.81008763
199	38.81002601
200	38.80995326
201	38.80986043
202	38.80979114
203	38.80968218
204	38.80960196
205	38.80949777
206	38.80938839
207	38.80926974
208	38.80916687
209	38.80906778
210	38.80897293
211	38.8089266
212	38.80880387
213	38.80873192
214	38.80866506
215	38.8085612
216	38.80845904
217	38.80835198
218	38.80820392
219	38.8081203
220	38.8080389
221	38.80791463
222	38.80784298
223	38.80777149
224	38.80768477
225	38.80759341
226	38.80749925
227	38.80743827
228	38.80732514
229	38.80724095
230	38.80715224
231	38.80706234
232	38.80696443
233	38.80687059
234	38.80678803
235	38.80668691
236	38.80652673
237	38.80642829
238	38.80630442
239	38.80620172
240	38.8060743
241	38.80599197
242	38.80586214
243	38.80576537
244	38.80564866
245	38.80554985
246	38.80544678
247	38.80537953
248	38.80528101
249	38.80528003
250	38.80514391
251	38.80506284
252	38.80498796
253	38.80489818
254	38.80483385
255	38.80483088
256	38.80470488
257	38.80460781
258	38.80454929
259	38.80443962
260	38.80438269
261	38.80426958
262	38.80422115
263	38.8041145
264	38.80399597
265	38.80392171
266	38.80384618
267	38.80374372
268	38.8036151
269	38.80355888
270	38.8034435
271	38.8033329
272	38.80324091
273	38.80312234
274	38.80300434
275	38.8029015
276	38.80281671
277	38.80271156
278	38.80253968
279	38.80245668
280	38.80233254
281	38.80221353
282	38.80212733
283	38.80202009
284	38.80189431
285	38.80172293
286	38.80163821
287	38.80154883
288	38.80145903
289	38.80136687
290	38.80121714
291	38.80106241
292	38.80092632
293	38.8008299
294	38.80069888
295	38.80058265
296	38.80043335
297	38.80027299
298	38.80015083
299	38.80003026
300	38.7999192
301	38.7998283
302	38.79970682
303	38.79957418
304	38.79946375
305	38.79931701
306	38.799201
307	38.79907592
308	38.79897608
309	38.7988492
310	38.79875227
311	38.79865039
312	38.79854387
313	38.79842567
314	38.79826288
315	38.79813406
316	38.7979974
317	38.7978673
318	38.7977334
319	38.79763301
320	38.79750711
321	38.79739657
322	38.79725847
323	38.79716817
324	38.79703768
325	38.79694179
326	38.79685509
327	38.79676509
328	38.79662846
329	38.79648953
330	38.79636632
331	38.79625726
332	38.79615083
333	38.79602519
334	38.7958993
335	38.79578243
336	38.79566232
337	38.79556524
338	38.7954583
339	38.79534896
340	38.79524926
341	38.79512791
342	38.79504587
343	38.7949007
344	38.79477807
345	38.7946753
346	38.7945847
347	38.79448909
348	38.79438347
349	38.79428345
350	38.79417552
351	38.79409169
352	38.79400941
353	38.79392136
354	38.79380317
355	38.79369774
356	38.79360519
357	38.79347222
358	38.79333272
359	38.79320607
360	38.7931018
361	38.79298177
362	38.79287305
363	38.79279162
364	38.7926353
365	38.79252056
366	38.79242854
367	38.79232567
368	38.79220922
369	38.7921229
370	38.79201806
371	38.79189209
372	38.79177302
373	38.79168812
374	38.79159112
375	38.79147282
376	38.79138839
377	38.79127128
378	38.79117856
379	38.79107873
380	38.79096237
381	38.79084326
382	38.79076541
383	38.79064467
384	38.79050426
385	38.79039277
386	38.79028004
387	38.79018669
388	38.79009995
389	38.78997685
390	38.7898549
391	38.78977472
392	38.78966714
393	38.78952596
394	38.78940939
395	38.78927611
396	38.78916537
397	38.78904857
398	38.78895033
399	38.78882742
400	38.7887099
401	38.78860899
402	38.78848243
403	38.78837708
404	38.78828462
